paper_id,page_count,native_image_count,figure_group_count,grouped_group_count,complete_group_count,fragmented_or_degraded_group_count,caption_matched,caption_ambiguous,caption_none,filtered_candidate_count,table_degraded_page_count,traceability_error_count,output_file_count,output_size_bytes
RW2-001,29,9,7,0,4,3,4,0,3,2,15,0,12,13425091
RW2-002,25,7,6,0,5,1,5,1,0,1,2,0,10,22171544
RW2-003,10,9,9,0,7,2,7,1,1,0,2,0,12,8472395
RW2-004,4,1,1,0,1,0,1,0,0,0,3,0,4,935667
RW2-005,18,43,7,4,0,7,2,0,5,11,1,0,50,11971248
RW2-006,30,10,4,0,3,1,3,1,0,6,8,0,13,11620449
RW2-007,16,6,5,0,3,2,3,0,2,1,5,0,9,78876538
RW2-008,6,12,2,0,2,0,2,0,0,10,3,0,15,5115219
